# Agronomic Yields of Annual Crops
#
# Original Data Source: https://lter.kbs.msu.edu/datatables/51
# The newest version of the data https://lter.kbs.msu.edu/datatables/51.csv
# Full EML Metadata: https://lter.kbs.msu.edu/datasets/23.eml
#
# 
# These Data are copyrighted and use in a publication requires written permission
# as detailed in our Terms of use:  https://lter.kbs.msu.edu/data/terms-of-use/
# Use of the data constitutes acceptance of the terms.
#
#     VARIATE TABLE
# Date		harvest date
# Treatment		treatment
# Replicate		replicate
# Crop		crop species collected
# crop_only_yield_bu_A	bushelPerAcre	This yield is based on the crop area. Crop kernel/seed harvested at crop harvest in bu/A (at standardized moisture for corn 15.5%, wheat/soybean 13%; conversions for corn: 56 pounds/bushel wheat/soybeans: 60 pounds/bushel)
# crop_only_yield_kg_ha	kilogramsPerHectare	This yield is based on the crop area. Crop kernel/seed harvested at crop harvest in kg/ha (at standardized moisture for corn 15.5%, wheat/soybean 13%)
# whole_plot_yield_bu_A	bushelPerAcre	This yield is based on including the area of the 15-foot wide prairie strips in the denominator of the yield calculation  (at standardized moisture for corn 15.5%, wheat/soybean 13%).
# whole_plot_yield_kg_ha	kilogramsPerHectare	This yield is based on including the area of of the 15-foot prairie strips in the denominator of the yield calculation  (at standardized moisture for corn 15.5%, wheat/soybean 13%).
# Year		crop year
#
#
#        DATA TABLE CORRECTIONS AND COMMENTS
#<p>2003-12-18 Sven Bohm. From 2001 to present corn yield is based on 15% moisture rather than 15.5%</p><p>2004-1-13 Sven Bohm. Yield data from 2003 from treatments 3 and 4 were corrected for the presence of weed seeds, since there were more than the usual amount of weed seeds in the harvested grain</p>
#2012-12-27 Sven Bohm. Discovered that the 2011 kg/ha yield was mistakenly multiplied by 50 instead of 56. And 2005 kg/ha yields were different than the bu/acre yields, due to an unknown cause.
#2018-1-4 Sven Bohm. In 2017 we switched to reporting the harvest of the whole plot instead of just the east side
#2013-1-28 Sven Bohm. The 2011-11-15 T1R3 plot was mistakenly labeled  T1T3.
#2013-2-1. Sven Bohm. It was discovered that the 2009 T3 yields were calculated with a 30 inch row spacing instead of 15 inches. This resulted in the reported yields to half of what they should have been. The mistake has been corrected and the updated numbers included in the dataset.
#2015-5-14 Sven Bohm. The yield in kg/ha was incorrectly reported for 2014. The numbers have been corrected.
#
Date,Treatment,Replicate,Crop,crop_only_yield_bu_A,crop_only_yield_kg_ha,whole_plot_yield_bu_A,whole_plot_yield_kg_ha,Year
#,,,,bushelPerAcre,kilogramsPerHectare,bushelPerAcre,kilogramsPerHectare,
2024-10-10,T4,R4,Glycine max L.,30.9,2074.4,29.3550000000000000,1970.6800000000000000,2024
2024-10-10,T4,R3,Glycine max L.,30.1,2025.6,28.5950000000000000,1924.3200000000000000,2024
2024-10-10,T4,R2,Glycine max L.,21.7,1459.3,20.6150000000000000,1386.3350000000000000,2024
2024-10-10,T4,R1,Glycine max L.,26.4,1775.8,25.0800000000000000,1687.0100000000000000,2024
2024-10-09,T4,R5,Glycine max L.,22.5,1511.8,21.3750000000000000,1436.2100000000000000,2024
2024-10-09,T4,R6,Glycine max L.,22.4,1507.6,21.2800000000000000,1432.2200000000000000,2024
2024-10-02,T3,R2,Glycine max L.,73.4,4932.3,69.7300000000000000,4685.6850000000000000,2024
2024-10-02,T3,R6,Glycine max L.,63.7,4281.0,60.5150000000000000,4066.9500000000000000,2024
2024-10-02,T3,R5,Glycine max L.,56.7,3809.9,53.8650000000000000,3619.4050000000000000,2024
2024-10-02,T3,R4,Glycine max L.,66.1,4446.7,62.7950000000000000,4224.3650000000000000,2024
2024-10-02,T3,R3,Glycine max L.,71.9,4834.4,68.3050000000000000,4592.6800000000000000,2024
2024-10-02,T3,R1,Glycine max L.,71.8,4827.4,68.2100000000000000,4586.0300000000000000,2024
2024-09-19,T2,R1,Glycine max L.,69.1,4645.6,69.1,4645.6,2024
2024-09-19,T2,R6,Glycine max L.,67.9,4563.4,67.9,4563.4,2024
2024-09-19,T2,R5,Glycine max L.,65.5,4404.2,65.5,4404.2,2024
2024-09-19,T2,R4,Glycine max L.,71.1,4782.5,71.1,4782.5,2024
2024-09-19,T2,R3,Glycine max L.,72.0,4842.0,72.0,4842.0,2024
2024-09-19,T2,R2,Glycine max L.,68.3,4591.8,68.3,4591.8,2024
2024-09-19,T1,R6,Glycine max L.,65.6,4412.3,65.6,4412.3,2024
2024-09-18,T1,R3,Glycine max L.,67.8,4554.4,67.8,4554.4,2024
2024-09-18,T1,R5,Glycine max L.,57.2,3844.1,57.2,3844.1,2024
2024-09-18,T1,R4,Glycine max L.,71.3,4795.9,71.3,4795.9,2024
2024-09-18,T1,R2,Glycine max L.,70.3,4729.0,70.3,4729.0,2024
2024-09-18,T1,R1,Glycine max L.,51.9,3486.1,51.9,3486.1,2024
2023-11-20,T4,R1,Zea mays L.,65.7,4121.3,62.4150000000000000,3915.2350000000000000,2023
2023-11-20,T4,R6,Zea mays L.,48.8,3062.4,46.3600000000000000,2909.2800000000000000,2023
2023-11-20,T4,R5,Zea mays L.,57.0,3573.9,54.1500000000000000,3395.2050000000000000,2023
2023-11-20,T4,R4,Zea mays L.,55.3,3468.1,52.5350000000000000,3294.6950000000000000,2023
2023-11-20,T4,R3,Zea mays L.,72.1,4523.1,68.4950000000000000,4296.9450000000000000,2023
2023-11-20,T4,R2,Zea mays L.,59.3,3723.4,56.3350000000000000,3537.2300000000000000,2023
2023-11-10,T3,R3,Zea mays L.,168.7,10582.1,160.2650000000000000,10052.995000000000,2023
2023-11-10,T3,R6,Zea mays L.,172.2,10806.8,163.5900000000000000,10266.460000000000,2023
2023-11-10,T3,R5,Zea mays L.,164.2,10301.2,155.9900000000000000,9786.1400000000000000,2023
2023-11-10,T3,R4,Zea mays L.,169.6,10637.7,161.1200000000000000,10105.815000000000,2023
2023-11-10,T3,R2,Zea mays L.,178.2,11181.6,169.2900000000000000,10622.520000000000,2023
2023-11-09,T1,R1,Zea mays L.,156.2,9799.5,156.2,9799.5,2023
2023-11-09,T3,R1,Zea mays L.,163.3,10246.3,155.1350000000000000,9733.9850000000000000,2023
2023-11-09,T1,R6,Zea mays L.,184.0,11546.1,184.0,11546.1,2023
2023-11-09,T1,R5,Zea mays L.,167.7,10523.7,167.7,10523.7,2023
2023-11-09,T1,R4,Zea mays L.,172.7,10834.3,172.7,10834.3,2023
2023-11-09,T1,R3,Zea mays L.,189.5,11888.1,189.5,11888.1,2023
2023-11-09,T1,R2,Zea mays L.,184.1,11547.5,184.1,11547.5,2023
2023-11-08,T2,R4,Zea mays L.,198.2,12437.0,198.2,12437.0,2023
2023-11-08,T2,R5,Zea mays L.,186.1,11677.0,186.1,11677.0,2023
2023-11-07,T2,R1,Zea mays L.,189.9,11911.7,189.9,11911.7,2023
2023-11-07,T2,R6,Zea mays L.,187.0,11729.5,187.0,11729.5,2023
2023-11-07,T2,R3,Zea mays L.,196.1,12302.9,196.1,12302.9,2023
2023-11-07,T2,R2,Zea mays L.,184.6,11583.9,184.6,11583.9,2023
2022-07-21,T3,R2,Triticum aestivum L.,63.4,4263.6,60.2300000000000000,4050.4200000000000000,2022
2022-07-21,T4,R6,Triticum aestivum L.,22.4,1505.3,21.2800000000000000,1430.0350000000000000,2022
2022-07-21,T4,R5,Triticum aestivum L.,25.3,1702.1,24.0350000000000000,1616.9950000000000000,2022
2022-07-21,T4,R4,Triticum aestivum L.,25.4,1708.2,24.1300000000000000,1622.7900000000000000,2022
2022-07-21,T4,R3,Triticum aestivum L.,26.9,1810.0,25.5550000000000000,1719.5000000000000000,2022
2022-07-21,T4,R2,Triticum aestivum L.,27.6,1855.3,26.2200000000000000,1762.5350000000000000,2022
2022-07-21,T4,R1,Triticum aestivum L.,26.5,1781.0,25.1750000000000000,1691.9500000000000000,2022
2022-07-21,T3,R5,Triticum aestivum L.,60.0,4036.6,57.0000000000000000,3834.7700000000000000,2022
2022-07-21,T3,R4,Triticum aestivum L.,62.2,4179.7,59.0900000000000000,3970.7150000000000000,2022
2022-07-20,T1,R3,Triticum aestivum L.,88.0,5916.6,88.0,5916.6,2022
2022-07-20,T3,R6,Triticum aestivum L.,56.5,3795.3,53.6750000000000000,3605.5350000000000000,2022
2022-07-20,T3,R3,Triticum aestivum L.,60.3,4053.7,57.2850000000000000,3851.0150000000000000,2022
2022-07-20,T3,R1,Triticum aestivum L.,60.1,4042.6,57.0950000000000000,3840.4700000000000000,2022
2022-07-20,T2,R6,Triticum aestivum L.,84.6,5689.8,84.6,5689.8,2022
2022-07-20,T2,R4,Triticum aestivum L.,79.2,5323.1,79.2,5323.1,2022
2022-07-20,T2,R1,Triticum aestivum L.,78.9,5304.7,78.9,5304.7,2022
2022-07-20,T1,R4,Triticum aestivum L.,71.4,4799.6,71.4,4799.6,2022
